epoch,train_loss,cal_loss,test_loss,n_islands,effective_n_islands,n_train
1,1.657275140285492,1.0867564678192139,1.36783766746521,1,1,92
2,1.7157801389694214,1.0858534574508667,1.3660755157470703,1,1,92
3,1.5380041599273682,1.084978699684143,1.36480712890625,1,1,92
4,1.4661075472831726,1.0841602087020874,1.363631010055542,1,1,92
5,1.709742784500122,1.0832982063293457,1.3626713752746582,1,1,92
6,1.3734910488128662,1.0826181173324585,1.3619226217269897,1,1,92
7,1.597191870212555,1.0819934606552124,1.3611621856689453,1,1,92
8,1.3115058541297913,1.0813639163970947,1.3602784872055054,1,1,92
9,1.5622687339782715,1.080654501914978,1.3594979047775269,1,1,92
10,1.0969684422016144,1.0798285007476807,1.3589067459106445,1,1,92
11,1.179965853691101,1.079092264175415,1.3584098815917969,1,1,92
12,1.1784440875053406,1.0784518718719482,1.3579373359680176,1,1,92
13,1.0817776322364807,1.0777086019515991,1.357492446899414,1,1,92
14,1.0994051098823547,1.0769941806793213,1.357129454612732,1,1,92
15,0.9804682731628418,1.0763980150222778,1.356749415397644,1,1,92
16,1.00477334856987,1.075797438621521,1.3564774990081787,1,1,92
17,1.021553635597229,1.0753198862075806,1.3563894033432007,1,1,92
18,1.0168387293815613,1.0749224424362183,1.356266736984253,1,1,92
19,0.9965692162513733,1.0744696855545044,1.3561362028121948,1,1,92
20,0.8735150992870331,1.0740165710449219,1.3559916019439697,1,1,92
21,0.7847059965133667,1.073670744895935,1.3558849096298218,1,1,92
22,1.2018399238586426,1.073398470878601,1.3558416366577148,1,1,92
23,0.6819971054792404,1.0731310844421387,1.355836272239685,1,1,92
24,0.6853038370609283,1.0729708671569824,1.3557939529418945,1,1,92
25,0.7445656359195709,1.0728541612625122,1.3557137250900269,1,1,92
26,0.6474328935146332,1.0727064609527588,1.355749487876892,1,1,92
27,0.511596292257309,1.072442650794983,1.3557285070419312,1,1,92
28,0.4976334571838379,1.0720778703689575,1.355825424194336,1,1,92
29,0.5398178696632385,1.0716739892959595,1.355897307395935,1,1,92
30,0.5386196374893188,1.0713391304016113,1.3559993505477905,1,1,92
31,0.4642639309167862,1.070792317390442,1.3560556173324585,1,1,92
32,0.5495656728744507,1.0701242685317993,1.3561395406723022,1,1,92
33,0.5335277020931244,1.0695968866348267,1.3562746047973633,1,1,92
34,0.4457249343395233,1.0691407918930054,1.3564176559448242,1,1,92
35,0.45748643577098846,1.0686955451965332,1.3565982580184937,1,1,92
36,0.541201114654541,1.0680476427078247,1.356717824935913,1,1,92
37,0.6169262379407883,1.067393183708191,1.3567864894866943,1,1,92
38,0.41489413380622864,1.066802740097046,1.3568309545516968,1,1,92
39,0.38385359942913055,1.0662606954574585,1.356987476348877,1,1,92
40,0.3617144674062729,1.065667986869812,1.357092261314392,1,1,92
41,0.2877543047070503,1.0650020837783813,1.3572807312011719,1,1,92
42,0.4042990952730179,1.0643389225006104,1.3574355840682983,1,1,92
43,0.4028855413198471,1.0635334253311157,1.3575470447540283,1,1,92
44,0.2776554897427559,1.0626683235168457,1.357640027999878,1,1,92
45,0.29949675500392914,1.0620503425598145,1.357815146446228,1,1,92
46,0.28972482681274414,1.0615038871765137,1.3580303192138672,1,1,92
47,0.4498094469308853,1.0609779357910156,1.3582576513290405,1,1,92
48,0.33528566360473633,1.0605294704437256,1.3585424423217773,1,1,92
49,0.6478367447853088,1.0602120161056519,1.3587849140167236,1,1,92
50,0.43218135833740234,1.0596867799758911,1.3588838577270508,1,1,92
51,0.27031172066926956,1.0592342615127563,1.3589582443237305,1,1,92
52,0.3720768243074417,1.0586334466934204,1.3588509559631348,1,1,92
53,0.20190469920635223,1.0579886436462402,1.358701467514038,1,1,92
54,0.26158955693244934,1.0572062730789185,1.3585736751556396,1,1,92
55,0.3639684319496155,1.0564440488815308,1.358473777770996,1,1,92
56,0.227446086704731,1.0557405948638916,1.35850191116333,1,1,92
57,0.2032873034477234,1.0550545454025269,1.35858154296875,1,1,92
58,0.26920269429683685,1.0544230937957764,1.3586286306381226,1,1,92
59,0.17599401623010635,1.0537737607955933,1.3586795330047607,1,1,92
60,0.24221987277269363,1.053246021270752,1.3587603569030762,1,1,92
61,0.32060959935188293,1.0529526472091675,1.3590190410614014,1,1,92
62,0.3685876131057739,1.0526385307312012,1.3592947721481323,1,1,92
63,0.3206295520067215,1.052463412284851,1.3595590591430664,1,1,92
64,0.26490551978349686,1.0524286031723022,1.3598636388778687,1,1,92
65,0.3124042972922325,1.0523768663406372,1.360123634338379,1,1,92
66,0.3700106292963028,1.052304983139038,1.3604867458343506,1,1,92
67,0.292006179690361,1.0521695613861084,1.3608096837997437,1,1,92
68,0.3071225881576538,1.0521348714828491,1.3610374927520752,1,1,92
69,0.18826589733362198,1.0520176887512207,1.3610756397247314,1,1,92
70,0.24706584960222244,1.0517840385437012,1.360973834991455,1,1,92
71,0.3555160015821457,1.051627516746521,1.360961675643921,1,1,92
72,0.2288353517651558,1.0515562295913696,1.3609275817871094,1,1,92
73,0.21000418812036514,1.0514965057373047,1.3608226776123047,1,1,92
74,0.3083410784602165,1.0516254901885986,1.3608856201171875,1,1,92
75,0.14242765679955482,1.0517231225967407,1.3610711097717285,1,1,92
76,0.33361610770225525,1.051819086074829,1.3613237142562866,1,1,92
77,0.3748401999473572,1.0517171621322632,1.3614877462387085,1,1,92
78,0.19974491372704506,1.051727533340454,1.3619030714035034,1,1,92
79,0.21705759316682816,1.0519301891326904,1.3623913526535034,1,1,92
80,0.4348743408918381,1.052268624305725,1.3628438711166382,1,1,92
81,0.17619632184505463,1.0523508787155151,1.3633054494857788,1,1,92
82,0.16039692610502243,1.052351474761963,1.3636444807052612,1,1,92
83,0.27101756632328033,1.0521942377090454,1.3638370037078857,1,1,92
84,0.13462001830339432,1.0520209074020386,1.3638956546783447,1,1,92
85,0.1842993199825287,1.0516825914382935,1.3638355731964111,1,1,92
86,0.24410604685544968,1.0514800548553467,1.3638243675231934,1,1,92
87,0.26564405858516693,1.0513142347335815,1.3638532161712646,1,1,92
88,0.1537197306752205,1.050955057144165,1.3638112545013428,1,1,92
89,0.16280603408813477,1.050683617591858,1.3636188507080078,1,1,92
90,0.22096943855285645,1.050378441810608,1.3634567260742188,1,1,92
91,0.2111925557255745,1.0501424074172974,1.3634604215621948,1,1,92
92,0.2567131146788597,1.050034761428833,1.3635854721069336,1,1,92
93,0.16753969714045525,1.0499207973480225,1.363727331161499,1,1,92
94,0.16104847937822342,1.0497361421585083,1.3638328313827515,1,1,92
95,0.2321663498878479,1.0495305061340332,1.3640049695968628,1,1,92
96,0.3927258402109146,1.049439549446106,1.364202857017517,1,1,92
97,0.22249224036931992,1.0492359399795532,1.364262580871582,1,1,92
98,0.2693842053413391,1.049001932144165,1.3641703128814697,1,1,92
99,0.16755466908216476,1.04888117313385,1.364091396331787,1,1,92
100,0.3860437422990799,1.0487607717514038,1.3640354871749878,1,1,92
101,0.17612118273973465,1.0486599206924438,1.364004135131836,1,1,92
102,0.21293825656175613,1.0485179424285889,1.363957166671753,1,1,92
103,0.18570873886346817,1.0483965873718262,1.3638343811035156,1,1,92
104,0.16135812550783157,1.048429012298584,1.3639826774597168,1,1,92
105,0.16972774639725685,1.0483068227767944,1.3640391826629639,1,1,92
106,0.16706054657697678,1.048097014427185,1.3640798330307007,1,1,92
107,0.2769557386636734,1.0479135513305664,1.364145040512085,1,1,92
108,0.10021033510565758,1.0476518869400024,1.3641585111618042,1,1,92
109,0.20265981554985046,1.047316551208496,1.3643501996994019,1,1,92
110,0.23227134346961975,1.04725182056427,1.3647488355636597,1,1,92
111,0.13571158424019814,1.0472644567489624,1.3652304410934448,1,1,92
112,0.2627626359462738,1.0471631288528442,1.3655637502670288,1,1,92
113,0.192561537027359,1.04698646068573,1.3657662868499756,1,1,92
114,0.18090512603521347,1.0468485355377197,1.3660283088684082,1,1,92
115,0.20171569287776947,1.0468634366989136,1.3662651777267456,1,1,92
116,0.2963242828845978,1.0467662811279297,1.3662290573120117,1,1,92
117,0.24578583240509033,1.0466302633285522,1.3661426305770874,1,1,92
118,0.17735585570335388,1.046472191810608,1.3659942150115967,1,1,92
119,0.1736156977713108,1.0462709665298462,1.3658294677734375,1,1,92
120,0.17707449197769165,1.0460288524627686,1.365607738494873,1,1,92
121,0.16868983954191208,1.045738697052002,1.365325689315796,1,1,92
